"AA9_1"	"AA9_2"	"AA9_3"	"DMSO_1"	"DMSO_2"	"DMSO_3"
"ENSG00000227372"	2528	1789	3106	2548	2365	2513
"ENSG00000276189"	0	0	0	0	0	0
"ENSG00000162592"	0	0	12	8	4	5
"ENSG00000235169"	57	38	75	78	49	48
"ENSG00000130764"	2653	1861	3096	2308	2028	2268
"ENSG00000266075"	15	4	9	2	7	11
"ENSG00000272153"	72	45	96	37	58	42
"ENSG00000116198"	2134	1342	2396	1807	1685	1684
"ENSG00000169598"	288	202	318	287	302	276
"ENSG00000198912"	1483	1032	1617	1375	1430	1465
"ENSG00000236423"	21	8	17	8	18	12
"ENSG00000233304"	0	0	0	0	0	0
"ENSG00000226374"	0	0	0	0	0	0
"ENSG00000229280"	0	0	0	0	0	0
"ENSG00000235054"	0	0	0	0	0	0
"ENSG00000227169"	0	0	0	0	0	0
"ENSG00000232596"	0	0	0	0	0	0
"ENSG00000196581"	0	0	0	0	0	0
"ENSG00000277731"	0	0	0	0	0	0
"ENSG00000231510"	0	0	0	0	0	0
"ENSG00000260972"	0	0	0	0	0	0
"ENSG00000264341"	0	0	0	0	0	0
"ENSG00000236948"	0	0	0	0	0	0
"ENSG00000216045"	0	0	0	0	0	0
"ENSG00000264101"	0	0	0	0	0	0
"ENSG00000131697"	972	674	1133	1044	1006	1131
"ENSG00000266687"	0	0	0	0	0	4
"ENSG00000069424"	120	89	140	170	172	189
"ENSG00000116254"	11	1	6	7	3	20
"ENSG00000116251"	9296	5497	10169	7395	6642	7026
"ENSG00000226944"	6	4	7	6	5	14
"ENSG00000158286"	110	98	122	140	134	162
"ENSG00000116237"	4654	3306	5314	4638	4388	4584
"ENSG00000225077"	25	14	18	23	12	19
"ENSG00000173673"	0	0	0	0	0	0
"ENSG00000158292"	290	228	364	259	254	265
"ENSG00000097021"	1700	1259	1988	1596	1430	1549
"ENSG00000271746"	0	0	0	0	0	0
"ENSG00000069812"	18	0	10	8	8	8
"ENSG00000187017"	7	10	12	23	10	6
"ENSG00000265392"	0	0	0	0	0	0
"ENSG00000231868"	2	0	0	0	0	0
"ENSG00000215788"	1469	1028	1593	1748	1774	1791
"ENSG00000171680"	3187	2297	3553	3945	3677	3825
"ENSG00000162408"	1813	1312	2022	1446	1149	1287
"ENSG00000253022"	2	0	0	1	0	1
"ENSG00000229519"	20	18	11	8	14	13
"ENSG00000173662"	2	0	5	8	0	2
"ENSG00000204859"	972	596	1031	898	819	835
"ENSG00000162413"	2126	1337	2296	1672	1416	1522
"ENSG00000116273"	2117	1507	2464	2404	2223	2310
"ENSG00000041988"	575	385	716	510	491	528
"ENSG00000007923"	1327	911	1543	1107	1027	1078
"ENSG00000228750"	0	2	0	0	0	0
"ENSG00000237436"	5	8	3	25	10	11
"ENSG00000171735"	873	492	810	783	744	829
"ENSG00000227950"	0	0	0	0	0	0
"ENSG00000237365"	0	0	0	0	0	0
"ENSG00000207056"	0	0	0	0	0	0
"ENSG00000237402"	0	0	4	0	0	4
"ENSG00000237728"	0	2	0	0	0	0
"ENSG00000225126"	0	0	0	0	0	0
"ENSG00000270171"	4	4	2	4	2	4
"ENSG00000270035"	0	0	0	2	0	4
"ENSG00000269978"	5	3	6	13	6	13
"ENSG00000049245"	7239	4653	7922	6884	6267	6561
"ENSG00000269925"	46	31	36	31	41	46
"ENSG00000049246"	885	596	882	757	747	768
"ENSG00000236266"	26	14	18	12	11	17
"ENSG00000049247"	0	0	0	2	0	0
"ENSG00000049249"	459	276	378	212	215	241
