"DMSO_1"	"DMSO_2"	"DMSO_3"	"NCEG2_1"	"NCEG2_2"	"NCEG2_3"
"ENSG00000227372"	2548	2365	2513	2080	2345	2359
"ENSG00000276189"	0	0	0	0	0	0
"ENSG00000162592"	8	4	5	0	1	2
"ENSG00000235169"	78	49	48	44	32	56
"ENSG00000130764"	2308	2028	2268	1857	2203	1985
"ENSG00000266075"	2	7	11	10	4	14
"ENSG00000272153"	37	58	42	26	37	60
"ENSG00000116198"	1807	1685	1684	1297	1488	1419
"ENSG00000169598"	287	302	276	222	252	261
"ENSG00000198912"	1375	1430	1465	1498	1889	1846
"ENSG00000236423"	8	18	12	10	7	8
"ENSG00000233304"	0	0	0	0	0	0
"ENSG00000226374"	0	0	0	0	0	0
"ENSG00000229280"	0	0	0	0	0	0
"ENSG00000235054"	0	0	0	0	0	0
"ENSG00000227169"	0	0	0	0	0	0
"ENSG00000232596"	0	0	0	0	0	0
"ENSG00000196581"	0	0	0	0	0	0
"ENSG00000277731"	0	0	0	0	0	0
"ENSG00000231510"	0	0	0	0	0	0
"ENSG00000260972"	0	0	0	0	0	0
"ENSG00000264341"	0	0	0	0	0	0
"ENSG00000236948"	0	0	0	0	0	0
"ENSG00000216045"	0	0	0	0	0	0
"ENSG00000264101"	0	0	0	0	0	0
"ENSG00000131697"	1044	1006	1131	899	1059	939
"ENSG00000266687"	0	0	4	2	0	0
"ENSG00000069424"	170	172	189	114	138	117
"ENSG00000116254"	7	3	20	8	23	13
"ENSG00000116251"	7395	6642	7026	5506	7321	6321
"ENSG00000226944"	6	5	14	6	12	15
"ENSG00000158286"	140	134	162	140	175	161
"ENSG00000116237"	4638	4388	4584	3912	4718	4440
"ENSG00000225077"	23	12	19	22	10	19
"ENSG00000173673"	0	0	0	0	0	0
"ENSG00000158292"	259	254	265	139	138	174
"ENSG00000097021"	1596	1430	1549	1502	1927	1659
"ENSG00000271746"	0	0	0	0	0	0
"ENSG00000069812"	8	8	8	10	4	9
"ENSG00000187017"	23	10	6	9	6	14
"ENSG00000265392"	0	0	0	0	0	0
"ENSG00000231868"	0	0	0	0	0	0
"ENSG00000215788"	1748	1774	1791	1624	2159	2370
"ENSG00000171680"	3945	3677	3825	3668	4450	4354
"ENSG00000162408"	1446	1149	1287	1101	1151	1326
"ENSG00000253022"	1	0	1	1	0	0
"ENSG00000229519"	8	14	13	14	17	14
"ENSG00000173662"	8	0	2	1	0	5
"ENSG00000204859"	898	819	835	590	714	680
"ENSG00000162413"	1672	1416	1522	1144	1353	1377
"ENSG00000116273"	2404	2223	2310	1876	2357	2300
"ENSG00000041988"	510	491	528	405	570	475
"ENSG00000007923"	1107	1027	1078	979	1290	1267
"ENSG00000228750"	0	0	0	0	0	0
"ENSG00000237436"	25	10	11	15	23	20
"ENSG00000171735"	783	744	829	774	898	792
"ENSG00000227950"	0	0	0	0	0	0
"ENSG00000237365"	0	0	0	0	0	0
"ENSG00000207056"	0	0	0	0	0	0
"ENSG00000237402"	0	0	4	0	0	0
"ENSG00000237728"	0	0	0	0	0	0
"ENSG00000225126"	0	0	0	0	0	0
"ENSG00000270171"	4	2	4	3	0	6
"ENSG00000270035"	2	0	4	0	3	7
"ENSG00000269978"	13	6	13	2	6	6
"ENSG00000049245"	6884	6267	6561	5247	6539	5779
"ENSG00000269925"	31	41	46	29	35	48
"ENSG00000049246"	757	747	768	745	903	824
"ENSG00000236266"	12	11	17	11	25	9
"ENSG00000049247"	2	0	0	0	0	0
"ENSG00000049249"	212	215	241	305	391	292
